"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","choice","question_order"
"true","false","[]","[]","[]","preload","0","20074","0.0-0.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","","","","",""
"","","","","","instructions","1","49411","0.0-1.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","[{""page_index"":0,""viewing_time"":29333}]","29334","","","",""
"","","","","","instructions","2","52279","0.0-2.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","[{""page_index"":0,""viewing_time"":2867}]","2868","","","",""
"true","","","","","fullscreen","3","54668","0.0-3.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","1380","","","",""
"","","","","","instructions","4","104213","0.0-4.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","[{""page_index"":0,""viewing_time"":49533}]","49543","","","",""
"","","","","","html-keyboard-response","5","111222","0.0-5.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","6","118225","0.0-6.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","7","125228","0.0-7.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","8","128802","0.0-8.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","3572","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","1",""
"","","","","","html-keyboard-response","9","135805","0.0-9.0-1.0-0.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_6/semantic_series_6_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","10","139937","0.0-10.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","4117","","{""Q0"":3}","","[0]"
"","","","","","survey-likert","11","144703","0.0-11.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","4764","","{""Q0"":2}","","[0]"
"","","","","","html-keyboard-response","12","151706","0.0-12.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","13","158709","0.0-13.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","14","165710","0.0-14.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","15","172713","0.0-15.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","16","173909","0.0-16.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","1195","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","0",""
"","","","","","html-keyboard-response","17","180912","0.0-17.0-0.0-0.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","18","183741","0.0-18.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","2828","","{""Q0"":1}","","[0]"
"","","","","","survey-likert","19","186391","0.0-19.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","2649","","{""Q0"":2}","","[0]"
"","","","","","html-keyboard-response","20","193394","0.0-20.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","21","200396","0.0-21.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","22","207399","0.0-22.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","23","214401","0.0-23.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","24","215662","0.0-24.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","1260","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","1",""
"","","","","","html-keyboard-response","25","222666","0.0-25.0-1.0-0.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_7/semantic_series_7_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","26","224882","0.0-26.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","2215","","{""Q0"":2}","","[0]"
"","","","","","survey-likert","27","228462","0.0-27.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","3578","","{""Q0"":2}","","[0]"
"","","","","","html-keyboard-response","28","235463","0.0-28.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","29","242466","0.0-29.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","30","249468","0.0-30.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","31","256470","0.0-31.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","32","257631","0.0-32.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","1159","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","1",""
"","","","","","html-keyboard-response","33","264634","0.0-33.0-1.0-0.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_3/semantic_series_3_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","34","266686","0.0-34.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","2051","","{""Q0"":1}","","[0]"
"","","","","","survey-likert","35","270739","0.0-35.0","CFE8659747BF4A9DB56F4A96ED0C7216","0199d04b-1173-7edb-9a88-9f8d8ca8218d","0199d03a-64b5-7588-a054-13255d1a32c0","","4052","","{""Q0"":1}","","[0]"
