"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","series","repetition","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","631","0.0-0.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","","","","","","","",""
"","","","","","instructions","1","2687","0.0-1.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","[{""page_index"":0,""viewing_time"":2055}]","2055","","","","","","",""
"","","","","","instructions","2","9851","0.0-2.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","[{""page_index"":0,""viewing_time"":7164}]","7164","","","","","","",""
"true","","","","","fullscreen","3","13469","0.0-3.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","2615","","","","","","",""
"","","","","","instructions","4","102488","0.0-4.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","[{""page_index"":0,""viewing_time"":89015}]","89016","","","","","","",""
"","","","","","html-keyboard-response","5","108492","0.0-5.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","9","1","A","",""
"","","","","","html-keyboard-response","6","114495","0.0-6.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","9","1","B","",""
"","","","","","html-keyboard-response","7","120498","0.0-7.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","9","1","C","",""
"","","","","","html-button-response","8","124956","0.0-8.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","4456","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","9","1","choice","0",""
"","","","","","html-keyboard-response","9","130959","0.0-9.0-0.0-0.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","9","1","D","",""
"","","","","","survey-likert","10","135743","0.0-10.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","4781","","{""Q0"":1}","9","1","surprise_rating","","[0]"
"","","","","","survey-likert","11","138255","0.0-11.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","2511","","{""Q0"":2}","9","1","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","12","144259","0.0-12.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","0","0","blank","",""
"","","","","","html-keyboard-response","13","150260","0.0-13.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","2","1","A","",""
"","","","","","html-keyboard-response","14","156263","0.0-14.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","2","1","B","",""
"","","","","","html-keyboard-response","15","162266","0.0-15.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","2","1","C","",""
"","","","","","html-button-response","16","164706","0.0-16.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","2439","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","2","1","choice","1",""
"","","","","","html-keyboard-response","17","170709","0.0-17.0-1.0-0.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_2/semantic_series_2_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","2","1","D","",""
"","","","","","survey-likert","18","174673","0.0-18.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","3963","","{""Q0"":3}","2","1","surprise_rating","","[0]"
"","","","","","survey-likert","19","177591","0.0-19.0","CA38176A1C7B4806AE8E441DE0A66ACE","0199d6e0-474f-7d10-b54b-5a074c0373e2","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","2915","","{""Q0"":3}","2","1","enjoyment_rating","","[0]"
