"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","290","0.0-0.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","","","","","","",""
"","","","","","instructions","1","1973","0.0-1.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","[{""page_index"":0,""viewing_time"":1682}]","1683","","","","",""
"","","","","","instructions","2","4040","0.0-2.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","[{""page_index"":0,""viewing_time"":2065}]","2066","","","","",""
"true","","","","","fullscreen","3","6324","0.0-3.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","","1281","","","","",""
"","","","","","instructions","4","8137","0.0-4.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","[{""page_index"":0,""viewing_time"":1812}]","1812","","","","",""
"","","","","","html-button-response","5","9989","0.0-5.0-0.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","","1843","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","6","22000","0.0-5.0-1.0-1.0-0.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_9/semantic_series_9_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","semantic_a","",""
"","","","","","survey-likert","7","26377","0.0-5.0-2.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","","4373","","{""Q0"":1}","surprise_rating","","[0]"
"","","","","","survey-likert","8","29624","0.0-5.0-3.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","","3233","","{""Q0"":1}","enjoyment_rating","","[0]"
"","","","","","html-button-response","9","32141","0.0-6.0-0.0","8355BBB7E35C49ACAC98CEA54C6D999B","019a50c8-528a-761e-97b6-171906bcd89d","019a50c7-40c6-7e31-98af-8c2928834e23","","2494","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","deck_choice","0",""
