"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","offered_color","wait_time","decision"
"true","false","[]","[]","[]","preload","0","1332","0.0-0.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","","","","","","","",""
"","","","","","instructions","1","3283","0.0-1.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","[{""page_index"":0,""viewing_time"":1950}]","1950","","","","","",""
"","","","","","instructions","2","7614","0.0-2.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","[{""page_index"":0,""viewing_time"":4330}]","4330","","","","","",""
"true","","","","","fullscreen","3","10201","0.0-3.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","","1582","","","","","",""
"","","","","","instructions","4","20564","0.0-4.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","[{""page_index"":0,""viewing_time"":10362}]","10362","","","","","",""
"","","","","","instructions","5","24332","0.0-5.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","[{""page_index"":0,""viewing_time"":3767}]","3767","","","","","",""
"","","","","","html-keyboard-response","6","28334","0.0-6.0-0.0-0.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_1/causal_series_1_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","none","4000",""
"","","","","","html-button-response","7","34781","0.0-6.0-0.0-1.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","","6444","<p style=""font-size:22px;"">The next series offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red series shows an event that has a cause but no clear effect.</p>
                      <p>If you choose to view, you will need to wait <b>12 seconds</b> before seeing the next images.</p>
                      <p>Would you like to view or skip?</p>","0","offer_choice","red","12000","view"
"","","","","","html-keyboard-response","8","46784","0.0-6.0-0.0-2.0-0.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","","null","<p style=""font-size:22px;"">Please wait <b>12</b> seconds...</p>","null","waiting_screen","red","12000",""
"","","","","","html-keyboard-response","9","50787","0.0-6.0-1.0-0.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","red","12000",""
"","","","","","html-button-response","10","53664","0.0-6.0-1.0-1.0","5591652D74284D1EA59709D06AB51B0B","019a73f4-4095-70e4-85a6-1bc1b267398f","019a73f3-2330-77da-838d-1b323d7854ea","","2876","<p style=""font-size:22px;"">The next series offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red series shows an event that has a cause but no clear effect.</p>
                      <p>If you choose to view, you will need to wait <b>4 seconds</b> before seeing the next images.</p>
                      <p>Would you like to view or skip?</p>","0","offer_choice","red","4000","view"
