"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","424","0.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","","","","","",""
"","","","","","instructions","1","7387","0.0-1.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":6963}]","6963","","","","",""
"","","","","","instructions","2","16425","0.0-2.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":9037}]","9038","","","","",""
"true","","","","","fullscreen","3","19347","0.0-3.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","1909","","","","",""
"","","","","","instructions","4","38773","0.0-4.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":19425}]","19425","","","","",""
"","","","","","html-button-response","5","41355","0.0-5.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","2582","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","deck_choice","0",""
"","","","","","html-keyboard-response","6","47364","0.0-5.0-1.0-0.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
"","","","","","html-keyboard-response","7","53370","0.0-5.0-1.0-0.0-1.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_b","",""
"","","","","","survey-likert","8","56871","0.0-5.0-2.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","3500","","{""Q0"":2}","surprise_rating","","[0]"
"","","","","","survey-likert","9","59358","0.0-5.0-3.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","2486","","{""Q0"":1}","enjoyment_rating","","[0]"
"","","","","","html-button-response","10","60925","0.0-6.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","1566","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","11","72926","0.0-6.0-1.0-1.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_8/semantic_series_8_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","semantic_a","",""
"","","","","","survey-likert","12","76946","0.0-6.0-2.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","4019","","{""Q0"":1}","surprise_rating","","[0]"
"","","","","","survey-likert","13","79446","0.0-6.0-3.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","2499","","{""Q0"":3}","enjoyment_rating","","[0]"
"","","","","","html-button-response","14","80217","0.0-7.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","770","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","15","92228","0.0-7.0-1.0-1.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_1/semantic_series_1_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","semantic_a","",""
"","","","","","survey-likert","16","94923","0.0-7.0-2.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","2694","","{""Q0"":2}","surprise_rating","","[0]"
"","","","","","survey-likert","17","96258","0.0-7.0-3.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","1334","","{""Q0"":3}","enjoyment_rating","","[0]"
"","","","","","html-button-response","18","97145","0.0-8.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","886","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","deck_choice","0",""
"","","","","","html-keyboard-response","19","103150","0.0-8.0-1.0-0.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_10/causal_series_10_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
"","","","","","html-keyboard-response","20","109155","0.0-8.0-1.0-0.0-1.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_10/causal_series_10_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_b","",""
"","","","","","survey-likert","21","112950","0.0-8.0-2.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","3794","","{""Q0"":1}","surprise_rating","","[0]"
"","","","","","survey-likert","22","115344","0.0-8.0-3.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","2393","","{""Q0"":3}","enjoyment_rating","","[0]"
"","","","","","html-button-response","23","116237","0.0-9.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","892","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","deck_choice","0",""
"","","","","","html-keyboard-response","24","122242","0.0-9.0-1.0-0.0-0.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
"","","","","","html-keyboard-response","25","128255","0.0-9.0-1.0-0.0-1.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_b","",""
"","","","","","survey-likert","26","132156","0.0-9.0-2.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","3900","","{""Q0"":2}","surprise_rating","","[0]"
"","","","","","survey-likert","27","134393","0.0-9.0-3.0","F10B5079F863411ABD85CF7C5BD46E53","019a50d1-2936-7da3-b9df-fa70d490b5d7","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","2236","","{""Q0"":2}","enjoyment_rating","","[0]"
