"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","offered_color","view_cost","view_history","rt","stimulus","response","phase","decision","question_order"
"true","false","[]","[]","[]","preload","0","121","0.0-0.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","","","","","",""
"","","","","","instructions","1","5258","0.0-1.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","[{""page_index"":0,""viewing_time"":5136}]","5136","","","","",""
"","","","","","instructions","2","51404","0.0-2.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","[{""page_index"":0,""viewing_time"":46144}]","46144","","","","",""
"true","","","","","fullscreen","3","55426","0.0-3.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","3017","","","","",""
"","","","","","instructions","4","73969","0.0-4.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","[{""page_index"":0,""viewing_time"":18541}]","18541","","","","",""
"","","","","","html-keyboard-response","5","79976","0.0-5.0-0.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
"","","","","","html-button-response","6","85164","0.0-5.0-1.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","5185","<p style=""font-size:22px;"">The next deck offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red deck shows two unrelated facts.</p>
                      <p>If you choose to view, it will cost <b>5 cents</b>.</p>
                      <p>Would you like to view or wait?</p>","1","offer_choice","wait",""
"","","","","","html-keyboard-response","7","91169","0.0-5.0-4.0-0.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","null","<p style=""font-size:22px;"">Waiting...</p>","null","wait_screen","",""
"","","","","","survey-likert","8","95076","0.0-5.0-5.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","3905","","{""Q0"":0}","surprise_rating","","[0]"
"","","","","","survey-likert","9","98571","0.0-5.0-6.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","3492","","{""Q0"":0}","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","10","104574","0.0-6.0-0.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
"","","","","","html-button-response","11","109916","0.0-6.0-1.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","5340","<p style=""font-size:22px;"">The next deck offered is 
                        <span style=""color:blue; font-weight:bold;"">BLUE</span>.</p>
                      <p>The blue deck shows two related facts.</p>
                      <p>If you choose to view, it will cost <b>5 cents</b>.</p>
                      <p>Would you like to view or wait?</p>","1","offer_choice","wait",""
"","","","","","html-keyboard-response","12","115920","0.0-6.0-4.0-0.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","null","<p style=""font-size:22px;"">Waiting...</p>","null","wait_screen","",""
"","","","","","survey-likert","13","120015","0.0-6.0-5.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","4093","","{""Q0"":0}","surprise_rating","","[0]"
"","","","","","survey-likert","14","122248","0.0-6.0-6.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","2229","","{""Q0"":0}","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","15","128253","0.0-7.0-0.0","7954E4F0FCA7436C9442FDB61DB6B870","019a576a-666a-7a2d-8c17-f7fc6e948d0c","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","3","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
