"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","series","repetition","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","6769","0.0-0.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","","","","","","","","",""
"","","","","","instructions","1","20059","0.0-1.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","[{""page_index"":0,""viewing_time"":13289}]","13289","","","","","","",""
"","","","","","instructions","2","22368","0.0-2.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","[{""page_index"":0,""viewing_time"":2307}]","2308","","","","","","",""
"true","","","","","fullscreen","3","25666","0.0-3.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","","2295","","","","","","",""
"","","","","","instructions","4","60952","0.0-4.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","[{""page_index"":0,""viewing_time"":35283}]","35284","","","","","","",""
"","","","","","html-keyboard-response","5","66958","0.0-5.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","3","1","A","",""
"","","","","","html-button-response","6","71158","0.0-6.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","","4197","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","3","1","choice","0",""
"","","","","","html-keyboard-response","7","77170","0.0-7.0-0.0-0.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","3","1","B","",""
"","","","","","html-keyboard-response","8","83174","0.0-7.0-0.0-1.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","3","1","C","",""
"","","","","","html-keyboard-response","9","89190","0.0-7.0-0.0-2.0","3873A0B8992B49D08811A39BFC7DADA1","0199d676-5949-7eb6-86ce-5845ba2b1658","0199d675-8795-765b-adc2-c813de8cd3d1","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","3","1","D","",""
