"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","557","0.0-0.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","","","","","","",""
"","","","","","instructions","1","1717","0.0-1.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","[{""page_index"":0,""viewing_time"":1158}]","1158","","","","",""
"","","","","","instructions","2","4276","0.0-2.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","[{""page_index"":0,""viewing_time"":2558}]","2559","","","","",""
"true","","","","","fullscreen","3","6587","0.0-3.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","","1303","","","","",""
"","","","","","instructions","4","29389","0.0-4.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","[{""page_index"":0,""viewing_time"":22800}]","22800","","","","",""
"","","","","","html-keyboard-response","5","36401","0.0-5.0-0.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
"","","","","","html-button-response","6","41594","0.0-5.0-1.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","","5192","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","deck_choice","0",""
"","","","","","html-keyboard-response","7","47597","0.0-5.0-2.0-1.0-0.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_5_b","",""
"","","","","","html-keyboard-response","8","53607","0.0-5.0-2.0-1.0-1.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_9_b","",""
"","","","","","survey-likert","9","58209","0.0-5.0-3.0","BB97CB90B5D04EE98971782A17BC2F05","019a5254-56aa-7e39-b27f-d8f90db9c15e","019a5244-250c-7df3-93db-a9ccc41203ed","","4598","","{""Q0"":1}","surprise_rating","","[0]"
