"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","offered_color","wait_time","view_history","rt","stimulus","response","phase","decision"
"true","false","[]","[]","[]","preload","0","402","0.0-0.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","","","","","",""
"","","","","","instructions","1","2737","0.0-1.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","[{""page_index"":0,""viewing_time"":2334}]","2334","","","",""
"","","","","","instructions","2","5385","0.0-2.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","[{""page_index"":0,""viewing_time"":2647}]","2648","","","",""
"true","","","","","fullscreen","3","7707","0.0-3.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","","1321","","","",""
"","","","","","instructions","4","19246","0.0-4.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","[{""page_index"":0,""viewing_time"":11539}]","11539","","","",""
"","","","","","instructions","5","27540","0.0-5.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","[{""page_index"":0,""viewing_time"":8293}]","8293","","","",""
"","","","","","html-keyboard-response","6","33543","0.0-6.0-0.0-0.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start",""
"","","","","","html-button-response","7","46095","0.0-6.0-0.0-1.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","","12551","<p style=""font-size:22px;"">The next series offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red series shows a sequence of unrelated events with no causal link.</p>
                      <p>If you choose to view, you will need to wait <b>8 seconds</b> before seeing the next images.</p>
                      <p>Would you like to view or skip?</p>","0","offer_choice","view"
"","","","","","html-keyboard-response","8","54096","0.0-6.0-0.0-2.0-0.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","","null","<p style=""font-size:22px;"">Please wait <b>8</b> seconds...</p>","null","waiting_screen",""
"","","","","","html-keyboard-response","9","60099","0.0-6.0-1.0-0.0","622A7A81265B4F57888609792A25D4E4","019a71b4-f954-75e5-8c67-be4fa025341a","019a719d-eb47-7867-b440-fd981f2acb8b","blue","6000","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_8/causal_series_8_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start",""
