"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","series","repetition","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","1546","0.0-0.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","","","","","","","",""
"","","","","","instructions","1","4542","0.0-1.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","[{""page_index"":0,""viewing_time"":2995}]","2995","","","","","","",""
"","","","","","instructions","2","9110","0.0-2.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","[{""page_index"":0,""viewing_time"":4568}]","4568","","","","","","",""
"true","","","","","fullscreen","3","12077","0.0-3.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","1934","","","","","","",""
"","","","","","instructions","4","41553","0.0-4.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","[{""page_index"":0,""viewing_time"":29475}]","29475","","","","","","",""
"","","","","","html-keyboard-response","5","47555","0.0-5.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","4","1","A","",""
"","","","","","html-keyboard-response","6","53562","0.0-6.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","4","1","B","",""
"","","","","","html-keyboard-response","7","59579","0.0-7.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","4","1","C","",""
"","","","","","html-button-response","8","64273","0.0-8.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","4692","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","4","1","choice","0",""
"","","","","","html-keyboard-response","9","70284","0.0-9.0-0.0-0.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","4","1","D","",""
"","","","","","survey-likert","10","76787","0.0-10.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","6501","","{""Q0"":1}","4","1","surprise_rating","","[0]"
"","","","","","survey-likert","11","79480","0.0-11.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","2692","","{""Q0"":3}","4","1","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","12","85488","0.0-12.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","0","0","blank","",""
"","","","","","html-keyboard-response","13","91498","0.0-13.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","9","1","A","",""
"","","","","","html-keyboard-response","14","97513","0.0-14.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","9","1","B","",""
"","","","","","html-keyboard-response","15","103524","0.0-15.0","D1C9D0DD0FFB4355BFA2BA763D13EBA5","0199dc3b-b48e-7b66-be4d-c1a4e650be60","0199dc17-6108-79a8-8ee5-dd6adfea2946","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","9","1","C","",""
