"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","offered_color","view_cost","view_history","rt","stimulus","response","phase","decision","question_order"
"true","false","[]","[]","[]","preload","0","849","0.0-0.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","","","","","","",""
"","","","","","instructions","1","3760","0.0-1.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","[{""page_index"":0,""viewing_time"":2910}]","2910","","","","",""
"","","","","","instructions","2","16927","0.0-2.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","[{""page_index"":0,""viewing_time"":13165}]","13166","","","","",""
"true","","","","","fullscreen","3","22479","0.0-3.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","","4548","","","","",""
"","","","","","instructions","4","57214","0.0-4.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","[{""page_index"":0,""viewing_time"":34732}]","34732","","","","",""
"","","","","","html-keyboard-response","5","63218","0.0-5.0-0.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
"","","","","","html-button-response","6","70765","0.0-5.0-1.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","","7543","<p style=""font-size:22px;"">The next deck offered is 
                        <span style=""color:blue; font-weight:bold;"">BLUE</span>.</p>
                      <p>The blue deck shows two related facts.</p>
                      <p>If you choose to view, it will cost <b>5 cents</b>.</p>
                      <p>Would you like to view or wait?</p>","1","offer_choice","wait",""
"","","","","","html-keyboard-response","7","76768","0.0-5.0-4.0-0.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","","null","<p style=""font-size:22px;"">Waiting...</p>","null","wait_screen","",""
"","","","","","survey-likert","8","81418","0.0-5.0-5.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","","4646","","{""Q0"":3}","surprise_rating","","[0]"
"","","","","","survey-likert","9","84382","0.0-5.0-6.0","4607A1CC41974C2193573EE5456C4309","019a564d-4e13-74d7-b10f-0bb91aa26142","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","red","1","","2962","","{""Q0"":4}","enjoyment_rating","","[0]"
