"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","offered_color","view_cost","view_history","rt","stimulus","response","phase","decision","question_order"
"true","false","[]","[]","[]","preload","0","1014","0.0-0.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","","","","","","",""
"","","","","","instructions","1","4733","0.0-1.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","[{""page_index"":0,""viewing_time"":3717}]","3717","","","","",""
"","","","","","instructions","2","12444","0.0-2.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","[{""page_index"":0,""viewing_time"":7709}]","7710","","","","",""
"true","","","","","fullscreen","3","15147","0.0-3.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","","1670","","","","",""
"","","","","","instructions","4","43667","0.0-4.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","[{""page_index"":0,""viewing_time"":28519}]","28519","","","","",""
"","","","","","html-keyboard-response","5","49675","0.0-5.0-0.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_8/causal_series_8_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
"","","","","","html-button-response","6","54532","0.0-5.0-1.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","","4854","<p style=""font-size:22px;"">The next deck offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red deck shows two unrelated facts.</p>
                      <p>If you choose to view, it will cost <b>3 cents</b>.</p>
                      <p>Would you like to view or wait?</p>","1","offer_choice","wait",""
"","","","","","html-keyboard-response","7","60908","0.0-5.0-4.0-0.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","","null","<p style=""font-size:22px;"">Waiting...</p>","null","wait_screen","",""
"","","","","","survey-likert","8","65501","0.0-5.0-5.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","","4591","","{""Q0"":1}","surprise_rating","","[0]"
"","","","","","survey-likert","9","68900","0.0-5.0-6.0","CA673883D2A747DCA27A9FA67D37F18E","019a564f-7c6c-7eb5-8224-09f606652a71","019a5647-ac76-7ca7-a7d4-d28a0280c4e9","blue","1","","3396","","{""Q0"":1}","enjoyment_rating","","[0]"
