"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","series","repetition","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","3578","0.0-0.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","","","","","","","","",""
"","","","","","instructions","1","6134","0.0-1.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","[{""page_index"":0,""viewing_time"":2554}]","2555","","","","","","",""
"","","","","","instructions","2","10864","0.0-2.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","[{""page_index"":0,""viewing_time"":4729}]","4730","","","","","","",""
"true","","","","","fullscreen","3","15221","0.0-3.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","","3346","","","","","","",""
"","","","","","instructions","4","41726","0.0-4.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","[{""page_index"":0,""viewing_time"":26503}]","26504","","","","","","",""
"","","","","","html-keyboard-response","5","47740","0.0-5.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","2","1","A","",""
"","","","","","html-keyboard-response","6","53757","0.0-6.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","2","1","B","",""
"","","","","","html-keyboard-response","7","59761","0.0-7.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","2","1","C","",""
"","","","","","html-button-response","8","65832","0.0-8.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","","6065","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","2","1","choice","1",""
"","","","","","html-keyboard-response","9","71835","0.0-9.0-1.0-0.0","DA29D5052B5E48348144031A67CACC8B","0199dbb3-055d-7606-ab59-d5851da159c9","0199dba2-79c8-7e9d-9c1e-4c8d6614b755","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_2/semantic_series_2_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","2","1","D","",""
