"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","324","0.0-0.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","","","","","",""
"","","","","","instructions","1","2510","0.0-1.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":2184}]","2184","","","","",""
"","","","","","instructions","2","5517","0.0-2.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":3004}]","3005","","","","",""
"true","","","","","fullscreen","3","8025","0.0-3.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","1495","","","","",""
"","","","","","instructions","4","31734","0.0-4.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":23709}]","23709","","","","",""
"","","","","","html-button-response","5","35691","0.0-5.0-0.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","3953","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","6","47702","0.0-5.0-1.0-1.0-0.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_6/semantic_series_6_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","semantic_a","",""
"","","","","","survey-likert","7","52675","0.0-5.0-2.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","4967","","{""Q0"":3}","surprise_rating","","[0]"
"","","","","","survey-likert","8","55484","0.0-5.0-3.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","2807","","{""Q0"":4}","enjoyment_rating","","[0]"
"","","","","","html-button-response","9","59558","0.0-6.0-0.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","4072","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","10","71575","0.0-6.0-1.0-1.0-0.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_5/semantic_series_5_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","semantic_a","",""
"","","","","","survey-likert","11","79239","0.0-6.0-2.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","7661","","{""Q0"":0}","surprise_rating","","[0]"
"","","","","","survey-likert","12","82777","0.0-6.0-3.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","3536","","{""Q0"":2}","enjoyment_rating","","[0]"
"","","","","","html-button-response","13","84155","0.0-7.0-0.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","1376","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","deck_choice","0",""
"","","","","","html-keyboard-response","14","90172","0.0-7.0-1.0-0.0-0.0","7A50B2D5F081444F9D2236C66A2C39AF","019a50d7-6c78-70a7-86dd-6d8b55651101","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_8/causal_series_8_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
