"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","choice","question_order"
"true","false","[]","[]","[]","preload","0","564","0.0-0.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","","","","",""
"","","","","","instructions","1","10059","0.0-1.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","[{""page_index"":0,""viewing_time"":9494}]","9494","","","",""
"","","","","","instructions","2","18035","0.0-2.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","[{""page_index"":0,""viewing_time"":7976}]","7976","","","",""
"true","","","","","fullscreen","3","20924","0.0-3.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","1886","","","",""
"","","","","","instructions","4","43537","0.0-4.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","[{""page_index"":0,""viewing_time"":22612}]","22613","","","",""
"","","","","","html-keyboard-response","5","50539","0.0-5.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","6","57540","0.0-6.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","7","64542","0.0-7.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","8","67186","0.0-8.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","2642","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","0",""
"","","","","","html-keyboard-response","9","74189","0.0-9.0-0.0-0.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","10","79749","0.0-10.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","5559","","{""Q0"":3}","","[0]"
"","","","","","survey-likert","11","85856","0.0-11.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","6106","","{""Q0"":2}","","[0]"
"","","","","","html-keyboard-response","12","92859","0.0-12.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","13","99862","0.0-13.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_8/causal_series_8_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","14","106864","0.0-14.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_8/causal_series_8_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","15","113866","0.0-15.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_8/causal_series_8_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","16","115653","0.0-16.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","1787","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","1",""
"","","","","","html-keyboard-response","17","122655","0.0-17.0-1.0-0.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_8/semantic_series_8_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","18","125405","0.0-18.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","2748","","{""Q0"":3}","","[0]"
"","","","","","survey-likert","19","128485","0.0-19.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","3080","","{""Q0"":1}","","[0]"
"","","","","","html-keyboard-response","20","135487","0.0-20.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","21","142490","0.0-21.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","22","149492","0.0-22.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-keyboard-response","23","156494","0.0-23.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","html-button-response","24","158771","0.0-24.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","2275","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","0",""
"","","","","","html-keyboard-response","25","165772","0.0-25.0-0.0-0.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
"","","","","","survey-likert","26","170561","0.0-26.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","4788","","{""Q0"":2}","","[0]"
"","","","","","survey-likert","27","173625","0.0-27.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","3063","","{""Q0"":3}","","[0]"
"","","","","","html-keyboard-response","28","180627","0.0-28.0","DB6830A734C0415981C2A1684B9F83EB","0199d07e-f9e3-7694-9fdb-d96a98ef82f2","0199d07a-b3b8-7ad8-bd6b-b36dd7b47ed6","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","",""
