"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","428","0.0-0.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","","","","","","",""
"","","","","","instructions","1","29014","0.0-1.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","[{""page_index"":0,""viewing_time"":28585}]","28585","","","","",""
"","","","","","instructions","2","31950","0.0-2.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","[{""page_index"":0,""viewing_time"":2935}]","2935","","","","",""
"true","","","","","fullscreen","3","36418","0.0-3.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","","3464","","","","",""
"","","","","","instructions","4","57935","0.0-4.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","[{""page_index"":0,""viewing_time"":21516}]","21516","","","","",""
"","","","","","html-keyboard-response","5","64945","0.0-5.0-0.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_10/causal_series_10_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
"","","","","","html-button-response","6","69535","0.0-5.0-1.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","","4588","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","7","76542","0.0-5.0-2.0-0.0-0.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_10/causal_series_10_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_b","",""
"","","","","","html-keyboard-response","8","83551","0.0-5.0-2.0-0.0-1.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_10/causal_series_10_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_c","",""
"","","","","","survey-likert","9","88102","0.0-5.0-3.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","","4549","","{""Q0"":1}","surprise_rating","","[0]"
"","","","","","survey-likert","10","92469","0.0-5.0-4.0","5ABF96C17FAB4C448A2C5970FAF39C5B","019a5263-9505-7bbd-b503-12d8606e1fb4","019a524e-1850-7fa4-8556-8a611a5fd0c9","","4365","","{""Q0"":3}","enjoyment_rating","","[0]"
